,precision,recall,f1-score,support
0,0.9993928354584092,1.0,0.9996963255390222,1646.0
1,1.0,1.0,1.0,92.0
2,0.9675324675324676,1.0,0.9834983498349835,149.0
3,1.0,0.9568345323741008,0.9779411764705882,139.0
accuracy,0.9970384995064165,0.9970384995064165,0.9970384995064165,0.9970384995064165
macro avg,0.9917313257477192,0.9892086330935252,0.9902839629611485,2026.0
weighted avg,0.9971189263706215,0.9970384995064165,0.9970262731944989,2026.0
