model,cv_accuracy_mean,cv_macro_f1_mean,cv_balanced_accuracy_mean,test_accuracy,test_macro_f1,test_balanced_accuracy
Random forest,0.9971615600795121,0.989829150796624,0.9896945271472642,0.9970384995064165,0.9902839629611485,0.9892086330935252
Support vector machine,0.9937061408519355,0.9785076584379461,0.9798240669103127,0.9960513326752222,0.9876145437168009,0.9889048663863562
K-nearest neighbors,0.9895104378489121,0.9639798007023594,0.9656534499711846,0.9960513326752222,0.9871973271496257,0.9881067450351735
Multinomial logistic regression,0.994200120334194,0.9814133155817715,0.9836841210252152,0.9955577492596249,0.9843203677938419,0.9839336584423736
